6.6,0.24,0.27,1.4,0.057,33,152,0.9934,3.22,0.56,1
6.5,0.13,0.27,2.6,0.035,32,76,0.9914,3.21,0.76,2
6.4,0.29,0.57,1,0.06,15,120,0.9924,3.06,0.41,3
7.7,0.38,0.4,2,0.038,28,152,0.9906,3.18,0.32,4
6.6,0.17,0.38,1.5,0.032,28,112,0.9914,3.25,0.55,5
6.7,0.24,0.32,9,0.023,20,109,0.99262,3.34,0.35,6
5.9,0.24,0.34,2,0.037,40,108,0.98948,3.19,0.5,7
8,0.16,0.36,1.5,0.033,14,122,0.9941,3.2,0.39,8
6.8,0.24,0.38,8.3,0.045,50,185,0.99578,3.15,0.5,9
5.4,0.595,0.1,2.8,0.042,26,80,0.9932,3.36,0.38,10
5.6,0.29,0.05,0.8,0.038,11,30,0.9924,3.36,0.35,11
5.7,0.21,0.32,0.9,0.038,38,121,0.99074,3.24,0.46,12
8.2,0.32,0.26,2.1,0.062,26,87,0.98974,3.1,0.47,13
5.9,0.37,0.14,6.3,0.036,34,185,0.9944,3.17,0.63,14
7.8,0.26,0.49,3.1,0.045,21,116,0.9931,3.16,0.35,15
7,0.28,0.32,1.7,0.038,27,128,0.99375,3.2,0.62,16
6.6,0.34,0.28,1.3,0.035,32,90,0.9916,3.1,0.42,17
6.7,0.31,0.44,6.7,0.054,29,160,0.9952,3.04,0.44,18
8.3,0.14,0.34,1.1,0.042,7,47,0.9934,3.47,0.4,19
6.6,0.32,0.22,16.7,0.046,38,133,0.9979,3.22,0.67,20
7,0.16,0.25,14.3,0.044,27,149,0.998,2.91,0.46,21
5.8,0.26,0.29,1,0.042,35,101,0.99044,3.36,0.48,22
6.8,0.25,0.24,4.55,0.053,41,211,0.9955,3.37,0.67,23
8,0.59,0.71,17.35,0.038,61,228,1,2.95,0.75,24
6.8,0.21,0.62,6.4,0.041,7,113,0.99358,2.96,0.59,25
6.5,0.23,0.39,1.9,0.036,41,98,0.99,3.19,0.43,26
6,0.26,0.15,1.2,0.053,35,124,0.99347,3.08,0.46,27
7.2,0.51,0.24,10,0.093,35,197,0.9981,3.41,0.47,28
5.2,0.31,0.2,2.4,0.027,27,117,0.98886,3.56,0.45,29
6.1,0.34,0.24,18.35,0.05,33,184,0.99943,3.12,0.61,30
7,0.22,0.39,2.1,0.055,39,198,0.9951,3.52,0.54,31
5.5,0.16,0.31,1.2,0.026,31,68,0.9898,3.33,0.44,32
6.1,0.16,0.29,6,0.03,29,144,0.99474,3.68,0.46,33
7,0.24,0.36,2.8,0.034,22,112,0.99,3.19,0.38,34
6.5,0.15,0.55,5.9,0.045,75,162,0.99482,2.97,0.4,35
8,0.66,0.72,17.55,0.042,62,233,0.9999,2.92,0.68,36
8.4,0.23,0.32,1.3,0.048,59,113,0.99178,3.1,0.55,37
6.6,0.16,0.35,1.8,0.042,26,105,0.98962,3.19,0.75,38
7.5,0.22,0.32,2.4,0.045,29,100,0.99135,3.08,0.6,39
6.4,0.15,0.36,1.8,0.034,43,150,0.9922,3.42,0.69,40
7.9,0.26,0.41,15.15,0.04,38,216,0.9976,2.96,0.6,41
6.7,0.48,0.49,2.9,0.03,28,122,0.98926,3.13,0.4,42
8.9,0.26,0.33,8.1,0.024,47,202,0.99558,3.13,0.46,43
9,0.38,0.53,2.1,0.102,19,76,0.99001,2.93,0.57,44
8.2,0.18,0.49,1.1,0.033,28,81,0.9923,3,0.68,45
8.1,0.12,0.49,1.2,0.042,43,160,0.9934,3.13,0.48,46
8,0.14,0.33,1.2,0.045,71,162,0.9914,3.07,0.47,47
6.9,0.4,0.37,8.9,0.053,36,148,0.996,3.16,0.5,48
6,0.29,0.25,1.4,0.033,30,114,0.98794,3.08,0.43,49
6.8,0.31,0.3,8,0.028,33,122,0.99164,3.13,0.63,50
