7.8,0.2,0.2,1.4,0.036,25,83,0.99088,3.03,0.46,1
6.9,0.26,0.31,7,0.039,37,175,0.99376,3.32,0.49,2
6.4,0.27,0.29,10.8,0.028,17,118,0.99356,3.18,0.37,3
7.6,0.48,0.28,10.4,0.049,57,205,0.99748,3.24,0.45,4
6.9,0.52,0.54,7.9,0.036,23,169,0.99267,3.26,0.47,5
7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,6
9.2,0.23,0.3,1.1,0.031,40,99,0.9929,2.94,0.3,7
6,0.25,0.28,7.7,0.053,37,132,0.99489,3.06,0.5,8
6,0.28,0.29,19.3,0.051,36,174,0.99911,3.14,0.5,9
7.1,0.18,0.32,12.2,0.048,36,125,0.9967,2.92,0.54,10
7.6,0.19,0.38,10.6,0.06,48,174,0.9962,3.13,0.38,11
6.5,0.22,0.28,3.7,0.059,29,151,0.99177,3.23,0.41,12
8.8,0.2,0.43,15,0.053,60,184,1.0008,3.28,0.79,13
8.3,0.23,0.43,3.2,0.035,14,101,0.9928,3.15,0.36,14
6.7,0.2,0.24,6.5,0.044,28,100,0.99348,3.12,0.33,15
6.8,0.67,0.3,13,0.29,22,193,0.9984,3.08,0.67,16
8,0.74,0.21,4,0.05,24,133,0.99418,3.06,0.38,17
6.6,0.24,0.27,10.3,0.047,54,219,0.99742,3.04,0.45,18
7.9,0.21,0.4,1.2,0.039,38,107,0.992,3.21,0.54,19
6.8,0.24,0.31,18.3,0.046,40,142,1,3.3,0.41,20
5.9,0.22,0.45,22.6,0.12,55,122,0.99636,3.1,0.35,21
6.7,0.3,0.44,18.75,0.057,65,224,0.99956,3.11,0.53,22
7.8,0.32,0.33,10.4,0.031,47,194,0.99692,3.07,0.58,23
6.4,0.43,0.32,1.4,0.048,10,67,0.992,3.08,0.41,24
7.6,0.29,0.26,6.5,0.042,32,160,0.9944,3.14,0.47,25
7.2,0.19,0.39,1.2,0.036,32,85,0.9918,3.16,0.5,26
7.1,0.2,0.41,2.1,0.054,24,166,0.9948,3.48,0.62,27
7.2,0.24,0.28,1.9,0.032,30,92,0.9914,3.1,0.39,28
6.8,0.19,0.33,4.9,0.047,42,130,0.99283,3.12,0.56,29
8.1,0.28,0.49,1,0.04,32,148,0.9936,3.13,0.41,30
6.3,0.43,0.32,8.8,0.042,18,106,0.99172,3.28,0.33,31
7.5,0.19,0.49,1.8,0.055,19,110,0.9946,3.33,0.44,32
7.8,0.16,0.41,1.7,0.026,29,140,0.991,3.02,0.78,33
6.4,0.39,0.21,1.2,0.041,35,136,0.99225,3.15,0.46,34
5.1,0.31,0.3,0.9,0.037,28,152,0.992,3.54,0.56,35
7.4,0.13,0.39,4.7,0.042,36,137,0.995,3.36,0.56,36
7,0.34,0.39,6.9,0.066,43,162,0.99561,3.11,0.53,37
6,0.19,0.26,12.4,0.048,50,147,0.9972,3.3,0.36,38
6.8,0.27,0.22,17.8,0.034,16,116,0.9989,3.07,0.53,39
5.7,0.21,0.25,1.1,0.035,26,81,0.9902,3.31,0.52,40
7.1,0.16,0.36,1.2,0.043,21,90,0.9925,3.16,0.42,41
8.3,0.49,0.23,6.65,0.034,6,158,0.99344,3.05,0.48,42
5.7,0.18,0.36,1.2,0.046,9,71,0.99199,3.7,0.68,43
6.5,0.29,0.26,7,0.04,18,113,0.99366,3.17,0.38,44
9.1,0.28,0.49,2,0.059,10,112,0.9958,3.15,0.46,45
6.2,0.25,0.48,10,0.044,78,240,0.99655,3.25,0.47,46
6.4,0.22,0.31,13.9,0.04,57,135,0.99672,3.21,0.38,47
5.5,0.32,0.45,4.9,0.028,25,191,0.9922,3.51,0.49,48
7.5,0.41,0.23,14.8,0.054,28,174,0.99898,3.18,0.49,49
6.7,0.13,0.57,6.6,0.056,60,150,0.99548,2.96,0.43,50
